"filename", "language", "Markdown", "JSON with Comments", "JavaScript", "JSON", "XML", "HTML", "JavaScript JSX", "CSS", "SCSS", "Properties", "comment", "blank", "total"
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\plugins\_plugin-sweetalert2.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 674, 0, 0, 32, 706
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\plugins\_plugin-tagsinput.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 4, 15, 113
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\custom\_alerts.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\custom\_badges.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\custom\_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\custom\_cards.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\custom\_dropdown.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\custom\_example-pages.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 1, 29, 201
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\custom\_fileupload.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 7, 157
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\custom\_fixed-plugin.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 291, 0, 0, 52, 343
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\custom\_inputs.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 1, 16
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\custom\_modals.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\custom\_navbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\custom\_nucleo-outline.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7, 1, 15
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\custom\_pills.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 1, 8, 139
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\custom\_responsive.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 462, 0, 0, 89, 551
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\custom\_sidebar-and-main-panel.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 533, 0, 3, 91, 627
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\custom\_tabs.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 223, 0, 3, 22, 248
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\custom\_timeline.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\plugins\_plugin-nouislider.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 260, 0, 39, 2, 301
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\plugins\_plugin-react-big-calendar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 666, 0, 11, 8, 685
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\plugins\_plugin-react-bootstrap-sweetalert.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\plugins\_plugin-react-bootstrap-switch.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 230, 0, 8, 41, 279
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\plugins\_plugin-react-bootstrap-wizard.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 240, 0, 0, 42, 282
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\plugins\_plugin-react-datetime.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 310, 0, 3, 26, 339
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\plugins\_plugin-react-jvectormap.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 23, 136
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\plugins\_plugin-react-select.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 345, 0, 10, 7, 362
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\plugins\_plugin-react-table.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 517, 0, 0, 6, 523
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\plugins\_plugin-react-tagsinput.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 1, 12, 103
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\react\react-differences.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 2, 2, 31
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\components\CustomUpload\ImageUpload.js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 4, 7, 80
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\components\CustomUpload\PictureUpload.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 5, 41
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\components\FixedPlugin\FixedPlugin.js", "JavaScript", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 1, 5, 174
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\components\Footer\Footer.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 5, 31
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\components\Navbars\AdminNavbar.js", "JavaScript", 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 63, 7, 224
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\components\Navbars\AuthNavbar.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 4, 6, 68
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\components\ReactTable\ReactTable.js", "JavaScript", 0, 0, 229, 0, 0, 0, 0, 0, 0, 0, 23, 12, 264
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\components\Sidebar\Sidebar.js", "JavaScript", 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 43, 18, 230
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\components\Sidebar\sidebar.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 1, 8, 31
